category,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
alternative_classes_different_interfaces,284,94.72,28.83,6.37,95.72,95.72,27.27,0,,
comments_smell,262,90.46,18.63,3.86,82.86,82.86,47.5,0,,
data_class,284,96.48,3.47,1.12,98.75,98.75,57.03,284,61.97,64.23
data_clumps,324,92.9,38.97,3.23,86.38,86.38,35.86,0,,
dead_code,284,83.1,15.63,5.47,81.29,81.29,49.87,0,,
deep_nesting,306,90.2,22.72,13.86,80.33,80.33,29.66,306,46.41,47.46
duplicated_code,332,92.77,9.28,6.18,79.1,79.1,45.79,332,94.58,97.4
feature_envy,324,96.91,15.87,5.92,86.61,86.61,27.09,0,,
global_state,284,90.49,18.32,11.48,87.07,87.07,56.26,284,64.79,71.6
god_class,348,94.54,7.11,4.72,72.97,72.97,61.22,348,31.61,33.43
inappropriate_intimacy,306,92.48,5.35,0.69,81.48,81.48,41.93,0,,
incomplete_library_class,262,86.64,9.99,6.81,77.27,77.27,51.05,0,,
lazy_class,284,98.24,4.66,1.66,78.25,78.25,24.95,0,,
long_method,348,91.95,11.02,8.09,83.05,83.05,53.17,348,63.51,65.31
long_parameter_list,348,92.53,27.86,9.25,96.05,96.05,31.2,348,99.14,99.69
magic_numbers,306,93.79,16.98,15.74,78.46,78.46,25.67,306,93.46,94.08
message_chains,284,95.77,10.43,5.73,92.96,92.96,17.26,0,,
middle_man,284,95.42,3.82,0.95,99.27,99.27,38.17,0,,
parallel_inheritance,284,97.54,3.0,1.34,93.97,93.97,60.04,0,,
primitive_obsession,306,97.06,7.64,4.07,94.58,94.58,24.59,0,,
refused_bequest,284,95.07,29.24,3.08,88.96,88.96,24.96,0,,
shotgun_surgery,284,86.62,23.59,6.62,88.81,88.81,59.55,0,,
speculative_generality,284,88.38,8.91,6.44,81.07,81.07,55.68,0,,
switch_statements,306,92.48,11.12,9.05,59.42,59.42,52.24,0,,
temporary_field,283,93.64,12.79,3.73,94.27,94.27,26.17,0,,
